governorate,id,pcode,longitude,latitude,A0,I0,R0,B0,N0,M0,mu,beta,kappa,gamma,alpha,p,W,muB,l,ctc_locs,ctu_locs,orp_locs,personnel,nu0,beta0,phi0,theta0
Ouest,hti_nhr_floodrisk_geonode_20170417.1,12,-72.306526,18.594644,0,0,0,1911,3709447,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,157,541,503,346,0,1,0,0
Sud-Est,hti_nhr_floodrisk_geonode_20170417.2,30,-72.527553,18.242681,0,0,0,0,582325,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,37,127,115,401,0,1,0,0
Nord,hti_nhr_floodrisk_geonode_20170417.3,24,-72.204215,19.738457,0,0,0,634,982364,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,30,105,102,471,0,1,0,0
Nord-Est,hti_nhr_floodrisk_geonode_20170417.4,14,-71.836124,19.661662,0,0,0,0,362657,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,8,26,24,417,0,1,0,0
Artibonite,hti_nhr_floodrisk_geonode_20170417.5,18,-72.681092,19.450793,6000,1500,0,4873,1590230,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,56,226,154,1372,0,1,0,0
Centre,hti_nhr_floodrisk_geonode_20170417.6,16,-72.014266,19.141332,0,0,0,3003,686929,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,21,69,54,148,0,1,0,0
Sud,hti_nhr_floodrisk_geonode_20170417.7,28,-73.753542,18.204595,0,0,0,0,713385,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,31,108,98,179,0,1,0,0
Grande Anse,hti_nhr_floodrisk_geonode_20170417.8,27,-74.118405,18.638934,0,0,0,0,431083,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,21,73,66,405,0,1,0,0
Nord-Ouest,hti_nhr_floodrisk_geonode_20170417.9,29,-72.837001,19.936469,0,0,0,849,670886,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,16,57,51,652,0,1,0,0
Nippes,hti_nhr_floodrisk_geonode_20170417.10,20,-73.085995,18.439674,0,0,0,0,315303,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,6,19,18,865,0,1,0,0
1,hti_nhr_floodrisk_geonode_20170417.1,12,1,18.594644,0,0,0,1911,3709447,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,157,541,503,346,0,1,0,0
2,hti_nhr_floodrisk_geonode_20170417.2,30,2,18.242681,0,0,0,0,582325,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,37,127,115,401,0,1,0,0
3,hti_nhr_floodrisk_geonode_20170417.3,24,3,19.738457,0,0,0,634,982364,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,30,105,102,471,0,1,0,0
4,hti_nhr_floodrisk_geonode_20170417.4,14,4,19.661662,0,0,0,0,362657,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,8,26,24,417,0,1,0,0
5,hti_nhr_floodrisk_geonode_20170417.5,18,5,19.450793,6000,1500,0,4873,1590230,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,56,226,154,1372,0,1,0,0
6,hti_nhr_floodrisk_geonode_20170417.6,16,6,19.141332,0,0,0,3003,686929,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,21,69,54,148,0,1,0,0
7,hti_nhr_floodrisk_geonode_20170417.7,28,7,18.204595,0,0,0,0,713385,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,31,108,98,179,0,1,0,0
8,hti_nhr_floodrisk_geonode_20170417.8,27,8,18.638934,0,0,0,0,431083,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,21,73,66,405,0,1,0,0
9,hti_nhr_floodrisk_geonode_20170417.9,29,9,19.936469,0,0,0,849,670886,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,16,57,51,652,0,1,0,0
10,hti_nhr_floodrisk_geonode_20170417.10,20,10,18.439674,0,0,0,0,315303,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,6,19,18,865,0,1,0,0
11,hti_nhr_floodrisk_geonode_20170417.1,12,11,18.594644,0,0,0,1911,3709447,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,157,541,503,346,0,1,0,0
12,hti_nhr_floodrisk_geonode_20170417.2,30,12,18.242681,0,0,0,0,582325,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,37,127,115,401,0,1,0,0
13,hti_nhr_floodrisk_geonode_20170417.3,24,13,19.738457,0,0,0,634,982364,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,30,105,102,471,0,1,0,0
14,hti_nhr_floodrisk_geonode_20170417.4,14,14,19.661662,0,0,0,0,362657,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,8,26,24,417,0,1,0,0
15,hti_nhr_floodrisk_geonode_20170417.5,18,15,19.450793,6000,1500,0,4873,1590230,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,56,226,154,1372,0,1,0,0
16,hti_nhr_floodrisk_geonode_20170417.6,16,16,19.141332,0,0,0,3003,686929,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,21,69,54,148,0,1,0,0
17,hti_nhr_floodrisk_geonode_20170417.7,28,17,18.204595,0,0,0,0,713385,0,0,0.9,1000000,0.2,0.1,10,1,0.03,1,31,108,98,179,0,1,0,0
